Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Direction	GO terms (biological process)	GO terms (molecular function)	Pathways of gene	Accession-2
RSAU_RS10540	RSAU_RS10540	2103367	2103837	RSAU_RS10540-MONOMER	+			PWY-6151 // PWY-6153	RSAU_001972
RSAU_RS08110	RSAU_RS08110	1648931	1650217	RSAU_RS08110-MONOMER	-			PWY-5188	RSAU_001526
RSAU_RS13485	RSAU_RS13485	2687503	2688375	RSAU_RS13485-MONOMER	+				RSAU_002512
RSAU_RS14465	RSAU_RS14465	2726694	2727020	RSAU_RS14465-MONOMER	+				RSAU_002551
RSAU_RS04925	RSAU_RS04925	1011684	1012910	RSAU_RS04925-MONOMER	-				RSAU_000943
RSAU_RS06845	RSAU_RS06845	1395356	1396624	RSAU_RS06845-MONOMER	-			PWY-5084	RSAU_001292
RSAU_RS04370	RSAU_RS04370	893571	894761	RSAU_RS04370-MONOMER	+			PWY-8187 // ARG-PRO-PWY // ARGASEDEG-PWY	RSAU_000834
RSAU_RS03810	RSAU_RS03810	791029	791265	RSAU_RS03810-MONOMER	+				RSAU_000732
RSAU_RS06165	RSAU_RS06165	1262501	1263298	RSAU_RS06165-MONOMER	+				RSAU_001171
RSAU_RS04590	RSAU_RS04590	946482	948290	RSAU_RS04590-MONOMER	+				RSAU_000876
RSAU_RS09230	RSAU_RS09230	1866448	1866523	RSAU_RS09230-tRNA	-			TRNA-CHARGING-PWY // PWY0-1479	RSAU_001728
RSAU_RS07825	RSAU_RS07825	1590360	1590836	RSAU_RS07825-MONOMER	-				RSAU_001472
RSAU_RS07880	RSAU_RS07880	1602450	1603568	RSAU_RS07880-MONOMER	-			PWY-7892	RSAU_001483
RSAU_RS03285	RSAU_RS03285	687583	689472	RSAU_RS03285-MONOMER	+		GO:0005215		RSAU_000638
RSAU_RS06645	RSAU_RS06645	1356462	1357190	RSAU_RS06645-MONOMER	+			TRPSYN-PWY	RSAU_001254
RSAU_RS13015	RSAU_RS13015	2580897	2581763	RSAU_RS13015-MONOMER	-				RSAU_002429
RSAU_RS02335	RSAU_RS02335	501178	501543	RSAU_RS02335-MONOMER	+			PWY-6612 // PWY-6147	RSAU_000454
RSAU_RS11355	RSAU_RS11355	2252930	2253340	RSAU_RS11355-MONOMER	+			PWY-5704	RSAU_002122
RSAU_RS07735	RSAU_RS07735	1576074	1576427	RSAU_RS07735-MONOMER	-				RSAU_001456
RSAU_RS07850	RSAU_RS07850	1594616	1594924	RSAU_RS07850-MONOMER	-				RSAU_001477
RSAU_RS03720	RSAU_RS03720	772702	773022	RSAU_RS03720-MONOMER	+				RSAU_000716
RSAU_RS11520	RSAU_RS11520	2282619	2282948	RSAU_RS11520-MONOMER	+				
RSAU_RS06145	RSAU_RS06145	1257543	1258694	RSAU_RS06145-MONOMER	+				RSAU_001167
RSAU_RS13680	RSAU_RS13680	2726103	2726600	RSAU_RS13680-MONOMER	-				RSAU_002550
RSAU_RS14420	RSAU_RS14420	2569713	2570213	RSAU_RS14420-MONOMER	+				
RSAU_RS07710	RSAU_RS07710	1570839	1571813	RSAU_RS07710-MONOMER	-				RSAU_001451
RSAU_RS05425	RSAU_RS05425	1111101	1111688	RSAU_RS05425-MONOMER	+				RSAU_001035
RSAU_RS05390	RSAU_RS05390	1104058	1104372	RSAU_RS05390-MONOMER	+				RSAU_001029
RSAU_RS09990	RSAU_RS09990	1996950	1998242	RSAU_RS09990-MONOMER	+				RSAU_001871
RSAU_RS04280	RSAU_RS04280	876589	876825	RSAU_RS04280-MONOMER	+				RSAU_000816
RSAU_RS06880	RSAU_RS06880	1405500	1406990	RSAU_RS06880-MONOMER	-				RSAU_001299
RSAU_RS05615	RSAU_RS05615	1142118	1143524	RSAU_RS05615-MONOMER	+				RSAU_001066
RSAU_RS03930	RSAU_RS03930	819172	819630	RSAU_RS03930-MONOMER	+				RSAU_000755
RSAU_RS04625	RSAU_RS04625	952586	953395	RSAU_RS04625-MONOMER	+			PWY-8148	RSAU_000885
RSAU_RS10220	RSAU_RS10220	2041854	2042345	RSAU_RS10220-MONOMER	-				RSAU_001912
RSAU_RS13935	RSAU_RS13935	653225	653449	RSAU_RS13935-MONOMER	+				
RSAU_RS05820	RSAU_RS05820	1185823	1186011	RSAU_RS05820-MONOMER	-				RSAU_001106
RSAU_RS00775	RSAU_RS00775	186444	187541	RSAU_RS00775-MONOMER	+		GO:0005215		RSAU_000157
RSAU_RS04695	RSAU_RS04695	967851	969041	RSAU_RS04695-MONOMER	-		GO:0005215		RSAU_000901
RSAU_RS06940	RSAU_RS06940	1413750	1413944	RSAU_RS06940-MONOMER	-				
RSAU_RS01625	RSAU_RS01625	362009	362620	RSAU_RS01625-MONOMER	+				RSAU_000315
RSAU_RS00275	RSAU_RS00275	63651	65312	RSAU_RS00275-MONOMER	-		GO:0005215		RSAU_000061
RSAU_RS11375	RSAU_RS11375	2256212	2256826	RSAU_RS11375-MONOMER	+				RSAU_002126
RSAU_RS06225	RSAU_RS06225	1276671	1278167	RSAU_RS06225-MONOMER	+			PWY0-381 // PWY-4261	RSAU_001183
RSAU_RS14545	RSAU_RS14545	1299540	1299629	RSAU_RS14545-MONOMER	+				
RSAU_RS12390	RSAU_RS12390	2453470	2454291	RSAU_RS12390-MONOMER	-			PWY-8007	RSAU_002308
RSAU_RS08530	RSAU_RS08530	1743781	1744638	RSAU_RS08530-MONOMER	-				RSAU_001600
RSAU_RS11490	RSAU_RS11490	2274835	2275308	RSAU_RS11490-MONOMER	-				RSAU_002145
RSAU_RS07715	RSAU_RS07715	1571870	1574071	RSAU_RS07715-MONOMER	-				RSAU_001452
RSAU_RS05320	RSAU_RS05320	1088434	1089510	RSAU_RS05320-MONOMER	+				RSAU_001016
RSAU_RS00650	RSAU_RS00650	152880	153650	RSAU_RS00650-MONOMER	-			ARGSYNBSUB-PWY	RSAU_000133
RSAU_RS06615	RSAU_RS06615	1350873	1352279	RSAU_RS06615-MONOMER	+			TRPSYN-PWY	RSAU_001248
RSAU_RS05010	RSAU_RS05010	1029639	1030205	RSAU_RS05010-MONOMER	+			PWY-6613 // PWY-6121	RSAU_000959
RSAU_RS06970	RSAU_RS06970	1430236	1433676	RSAU_RS06970-MONOMER	-				RSAU_001314
RSAU_RS01805	RSAU_RS01805	393635	393994	RSAU_RS01805-MONOMER	-				RSAU_000350
RSAU_RS14150	RSAU_RS14150	1437296	1437675	RSAU_RS14150-RNA	-				
RSAU_RS04865	RSAU_RS04865	998385	999188	RSAU_RS04865-MONOMER	+			PWY-5840 // PWY-5837	RSAU_000933
RSAU_RS04010	RSAU_RS04010	835704	836390	RSAU_RS04010-MONOMER	+				RSAU_000769
RSAU_RS10835	RSAU_RS10835	2167499	2169475	RSAU_RS10835-MONOMER	+			PWY-7990	RSAU_002025
RSAU_RS11795	RSAU_RS11795	2334810	2335892	RSAU_RS11795-MONOMER	+		GO:0005215		RSAU_002202
RSAU_RS07185	RSAU_RS07185	1472657	1473937	RSAU_RS07185-MONOMER	-				RSAU_001351
RSAU_RS02090	RSAU_RS02090	452125	453552	RSAU_RS02090-MONOMER	+				RSAU_000408
RSAU_RS00200	RSAU_RS00200	45862	46416	RSAU_RS00200-MONOMER	+				RSAU_000043
RSAU_RS13305	RSAU_RS13305	2637789	2639024	RSAU_RS13305-MONOMER	-			PWY-8187 // ARGDEGRAD-PWY	RSAU_002478
RSAU_RS11945	RSAU_RS11945	2366362	2367396	RSAU_RS11945-MONOMER	-				RSAU_002230
RSAU_RS08280	RSAU_RS08280	1685933	1686901	RSAU_RS08280-MONOMER	-			ANAEROFRUCAT-PWY // ANAGLYCOLYSIS-PWY // PWY-1861	RSAU_001556
RSAU_RS00595	RSAU_RS00595	135843	136802	RSAU_RS00595-MONOMER	+		GO:0005215		RSAU_000122
RSAU_RS04655	RSAU_RS04655	960178	961746	RSAU_RS04655-MONOMER	+		GO:0005215		RSAU_000891
RSAU_RS00725	RSAU_RS00725	171292	174081	RSAU_RS00725-MONOMER	+				RSAU_000147
RSAU_RS14235	RSAU_RS14235	1951720	1951928	RSAU_RS14235-MONOMER	-				
RSAU_RS12875	RSAU_RS12875	2556260	2557768	RSAU_RS12875-MONOMER	-			PWY-5875	RSAU_002402
RSAU_RS03105	RSAU_RS03105	654095	658639	RSAU_RS03105-MONOMER	+				RSAU_000608
RSAU_RS11010	RSAU_RS11010	2202357	2203217	RSAU_RS11010-MONOMER	-		GO:0005215		RSAU_002057
RSAU_RS02165	RSAU_RS02165	468978	469904	RSAU_RS02165-MONOMER	+				RSAU_000421
RSAU_RS12295	RSAU_RS12295	2434573	2435925	RSAU_RS12295-MONOMER	+				RSAU_002291
RSAU_RS02205	RSAU_RS02205	475442	476215	RSAU_RS02205-MONOMER	+				RSAU_000428
RSAU_RS06710	RSAU_RS06710	1368862	1369713	RSAU_RS06710-MONOMER	-				RSAU_001266
RSAU_RS03725	RSAU_RS03725	773446	774570	RSAU_RS03725-MONOMER	+				RSAU_000717
RSAU_RS12325	RSAU_RS12325	2441043	2441300	RSAU_RS12325-MONOMER	-				RSAU_002296
RSAU_RS13160	RSAU_RS13160	2609197	2609760	RSAU_RS13160-MONOMER	+				RSAU_002454
RSAU_RS05985	RSAU_RS05985	1221773	1222546	RSAU_RS05985-MONOMER	+				RSAU_001137
RSAU_RS09800	RSAU_RS09800	1963396	1965162	RSAU_RS09800-MONOMER	-				RSAU_001833
RSAU_RS11510	RSAU_RS11510	2281116	2281808	RSAU_RS11510-MONOMER	+				RSAU_002150
RSAU_RS07300	RSAU_RS07300	1493987	1495471	RSAU_RS07300-MONOMER	+			PENTOSE-P-PWY // RUMP-PWY // P122-PWY // OXIDATIVEPENT-PWY	RSAU_001372
RSAU_RS03495	RSAU_RS03495	728407	729756	RSAU_RS03495-MONOMER	+		GO:0005215		RSAU_000677
RSAU_RS09560	RSAU_RS09560	1914501	1916039	RSAU_RS09560-MONOMER	+		GO:0005215		RSAU_001789
RSAU_RS04420	RSAU_RS04420	908085	911738	RSAU_RS04420-MONOMER	+				RSAU_000844
RSAU_RS00630	RSAU_RS00630	142256	143506	RSAU_RS00630-MONOMER	+		GO:0005215		RSAU_000129
RSAU_RS12920	RSAU_RS12920	2567481	2568536	RSAU_RS12920-MONOMER	-		GO:0005215		RSAU_002411
RSAU_RS02055	RSAU_RS02055	441582	442067	RSAU_RS02055-MONOMER	+				RSAU_000401
RSAU_RS05340	RSAU_RS05340	1092178	1092501	RSAU_RS05340-MONOMER	+			PWY-7847	RSAU_001020
RSAU_RS01360	RSAU_RS01360	309855	310523	RSAU_RS01360-MONOMER	+			GLCMANNANAUT-PWY // PWY0-1324	RSAU_000264
RSAU_RS08180	RSAU_RS08180	1661020	1661220	RSAU_RS08180-MONOMER	-				RSAU_001538
RSAU_RS14480	RSAU_RS14480	209041	209145	RSAU_RS14480-MONOMER	-				
RSAU_RS13530	RSAU_RS13530	2695380	2695958	RSAU_RS13530-MONOMER	-			AMMASSIM-PWY // PWY-5921 // GLUTSYN-PWY // GLUTAMINDEG-PWY // HISTSYN-PWY	RSAU_002520
RSAU_RS08165	RSAU_RS08165	1659867	1660475	RSAU_RS08165-MONOMER	-				RSAU_001536
RSAU_RS03910	RSAU_RS03910	813805	814995	RSAU_RS03910-MONOMER	+			ANAEROFRUCAT-PWY // P122-PWY // ANAGLYCOLYSIS-PWY // GLUCONEO-PWY	RSAU_000751
RSAU_RS04395	RSAU_RS04395	900497	901828	RSAU_RS04395-MONOMER	+			ANAEROFRUCAT-PWY // RUMP-PWY // P122-PWY // ANAGLYCOLYSIS-PWY // GLUCONEO-PWY // UDPNAGSYN-PWY	RSAU_000839
RSAU_RS07695	RSAU_RS07695	1566690	1567814	RSAU_RS07695-MONOMER	-			HEMESYN2-PWY	RSAU_001448
RSAU_RS12905	RSAU_RS12905	2563091	2564902	RSAU_RS12905-MONOMER	-				RSAU_002408
RSAU_RS03045	RSAU_RS03045	642710	643522	RSAU_RS03045-MONOMER	+				RSAU_000594
RSAU_RS11950	RSAU_RS11950	2367420	2367872	RSAU_RS11950-MONOMER	-				RSAU_002231
RSAU_RS04835	RSAU_RS04835	993080	993211	RSAU_RS04835-MONOMER	-				
RSAU_RS02465	RSAU_RS02465	521965	523038	RSAU_RS02465-MONOMER	+				RSAU_000478
RSAU_RS06425	RSAU_RS06425	1308593	1308907	RSAU_RS06425-MONOMER	-				RSAU_001214
RSAU_RS02035	RSAU_RS02035	438414	439256	RSAU_RS02035-MONOMER	+		GO:0005215		RSAU_000396
RSAU_RS11225	RSAU_RS11225	2232561	2232812	RSAU_RS11225-MONOMER	+				
RSAU_RS02730	RSAU_RS02730	585940	586770	RSAU_RS02730-MONOMER	-			PWY-6897 // PWY-7357 // PWY-7356 // PWY-6910	RSAU_000531
RSAU_RS11205	RSAU_RS11205	2226709	2226873	RSAU_RS11205-MONOMER	+				RSAU_002094
RSAU_RS13145	RSAU_RS13145	2605484	2607193	RSAU_RS13145-MONOMER	-				RSAU_002452
RSAU_RS03520	RSAU_RS03520	733720	734193	RSAU_RS03520-MONOMER	-				RSAU_000682
RSAU_RS04405	RSAU_RS04405	903333	903857	RSAU_RS04405-MONOMER	+				RSAU_000841
RSAU_RS12010	RSAU_RS12010	2381694	2382161	RSAU_RS12010-MONOMER	-				RSAU_002243
RSAU_RS01910	RSAU_RS01910	413310	414104	RSAU_RS01910-MONOMER	+				RSAU_000368
RSAU_RS00220	RSAU_RS00220	51470	52456	RSAU_RS00220-MONOMER	+				RSAU_000049
RSAU_RS09440	RSAU_RS09440	1893475	1893939	RSAU_RS09440-MONOMER	+				RSAU_001768
RSAU_RS09950	RSAU_RS09950	1990847	1991131	RSAU_RS09950-MONOMER	-				RSAU_001861
RSAU_RS01040	RSAU_RS01040	248086	248572	RSAU_RS01040-MONOMER	+				RSAU_000205
RSAU_RS00945	RSAU_RS00945	226701	227636	RSAU_RS00945-MONOMER	+				RSAU_000188
RSAU_RS13340	RSAU_RS13340	2645565	2647517	RSAU_RS13340-MONOMER	+		GO:0005215		RSAU_002484
RSAU_RS06025	RSAU_RS06025	1227300	1228082	RSAU_RS06025-MONOMER	+			PWY-5667 // PWY0-1319 // PWY-7817	RSAU_001143
RSAU_RS03890	RSAU_RS03890	810092	810721	RSAU_RS03890-MONOMER	+				RSAU_000748
RSAU_RS10200	RSAU_RS10200	2039663	2040025	RSAU_RS10200-MONOMER	-				RSAU_001908
RSAU_RS08510	RSAU_RS08510	1737409	1737900	RSAU_RS08510-MONOMER	-				RSAU_001596
RSAU_RS10695	RSAU_RS10695	2142189	2142998	RSAU_RS10695-MONOMER	-				RSAU_001999
RSAU_RS04555	RSAU_RS04555	940514	940999	RSAU_RS04555-MONOMER	+				RSAU_000869
RSAU_RS02530	RSAU_RS02530	533204	533572	RSAU_RS02530-MONOMER	+				RSAU_000492
RSAU_RS14695	RSAU_RS14695	2182639	2183067	RSAU_RS14695-MONOMER	-			LACTOSECAT-PWY	RSAU_002039
RSAU_RS13620	RSAU_RS13620	2711722	2712186	RSAU_RS13620-MONOMER	+				RSAU_002538
RSAU_RS04155	RSAU_RS04155	855800	857050	RSAU_RS04155-MONOMER	+			PWY-8165 // PWY-6823 // PWY-7892 // PWY-8164 // PWY0-1021 // PWY-7250	RSAU_000794
RSAU_RS10535	RSAU_RS10535	2101872	2103056	RSAU_RS10535-MONOMER	-				RSAU_001971
RSAU_RS10140	RSAU_RS10140	2027576	2027690	RSAU_RS10140-rRNA	-				RSAU_001897
RSAU_RS10805	RSAU_RS10805	2160962	2161993	RSAU_RS10805-MONOMER	-		GO:0005215		RSAU_002020
RSAU_RS11260	RSAU_RS11260	2237450	2238049	RSAU_RS11260-MONOMER	-			PWY-5964 // PWY-8168 // PWY-7639	RSAU_002103
RSAU_RS08195	RSAU_RS08195	1663924	1665861	RSAU_RS08195-MONOMER	-			TRNA-CHARGING-PWY	RSAU_001541
RSAU_RS07570	RSAU_RS07570	1541567	1542913	RSAU_RS07570-MONOMER	-				RSAU_001423
RSAU_RS13665	RSAU_RS13665	2723333	2725213	RSAU_RS13665-MONOMER	+				RSAU_002547
RSAU_RS07620	RSAU_RS07620	1553131	1553535	RSAU_RS07620-MONOMER	-			PWY-7193 // PWY0-1295 // PWY-7200 // PWY0-1298 // PWY-7199 // PWY-7181	RSAU_001433
RSAU_RS00360	RSAU_RS00360	86897	87661	RSAU_RS00360-MONOMER	+			PWY-8008	RSAU_000078
RSAU_RS01025	RSAU_RS01025	243932	245653	RSAU_RS01025-MONOMER	+				RSAU_000202
RSAU_RS06770	RSAU_RS06770	1382512	1383597	RSAU_RS06770-MONOMER	+			PWY-8072	RSAU_001278
RSAU_RS02420	RSAU_RS02420	512547	513434	RSAU_RS02420-MONOMER	+			PWY-6466 // AMMASSIM-PWY // PWY-5921 // GLUTSYN-PWY // GLUTAMINDEG-PWY	RSAU_000470
RSAU_RS12340	RSAU_RS12340	2442289	2443866	RSAU_RS12340-MONOMER	-				RSAU_002298
RSAU_RS07265	RSAU_RS07265	1488372	1488821	RSAU_RS07265-MONOMER	-				RSAU_001366
RSAU_RS03110	RSAU_RS03110	658636	660120	RSAU_RS03110-MONOMER	+				RSAU_000609
RSAU_RS05840	RSAU_RS05840	1190942	1191514	RSAU_RS05840-MONOMER	+				RSAU_001110
RSAU_RS04415	RSAU_RS04415	904608	908084	RSAU_RS04415-MONOMER	+				RSAU_000843
RSAU_RS11565	RSAU_RS11565	2289640	2291244	RSAU_RS11565-MONOMER	-		GO:0005215		RSAU_002159
RSAU_RS02235	RSAU_RS02235	480198	480578	RSAU_RS02235-MONOMER	+				RSAU_000434
RSAU_RS06695	RSAU_RS06695	1365709	1366053	RSAU_RS06695-MONOMER	-				RSAU_001263
RSAU_RS12910	RSAU_RS12910	2565407	2565895	RSAU_RS12910-MONOMER	-				RSAU_002409
RSAU_RS13520	RSAU_RS13520	2693928	2694686	RSAU_RS13520-MONOMER	-			AMMASSIM-PWY // PWY-5921 // GLUTSYN-PWY // GLUTAMINDEG-PWY // HISTSYN-PWY	RSAU_002518
RSAU_RS09055	RSAU_RS09055	1840061	1840801	RSAU_RS09055-MONOMER	-		GO:0005215		RSAU_001696
RSAU_RS00510	RSAU_RS00510	117125	117889	RSAU_RS00510-MONOMER	+				RSAU_000105
RSAU_RS04185	RSAU_RS04185	861114	862181	RSAU_RS04185-MONOMER	+				RSAU_000799
RSAU_RS14530	RSAU_RS14530	667642	667977	RSAU_RS14530-MONOMER	+				RSAU_000618
RSAU_RS05740	RSAU_RS05740	1167734	1169431	RSAU_RS05740-MONOMER	-				RSAU_001090
RSAU_RS08350	RSAU_RS08350	1703184	1704131	RSAU_RS08350-MONOMER	-				RSAU_001569
RSAU_RS08465	RSAU_RS08465	1726752	1728419	RSAU_RS08465-MONOMER	-			PWY-2161 // PWY-1722	RSAU_001588
RSAU_RS01050	RSAU_RS01050	248816	249490	RSAU_RS01050-MONOMER	+				RSAU_000206
RSAU_RS01275	RSAU_RS01275	292109	292597	RSAU_RS01275-MONOMER	+				RSAU_000248
RSAU_RS04715	RSAU_RS04715	972352	973914	RSAU_RS04715-MONOMER	+				RSAU_000905
RSAU_RS11210	RSAU_RS11210	2227119	2227436	RSAU_RS11210-MONOMER	+				RSAU_002095
RSAU_RS08795	RSAU_RS08795	1800592	1801587	RSAU_RS08795-MONOMER	+				RSAU_001652
RSAU_RS06160	RSAU_RS06160	1262112	1262327	RSAU_RS06160-MONOMER	-				RSAU_001170
RSAU_RS09985	RSAU_RS09985	1996785	1996925	RSAU_RS09985-MONOMER	+				RSAU_001870
RSAU_RS01415	RSAU_RS01415	321516	322541	RSAU_RS01415-MONOMER	+				RSAU_000274
RSAU_RS10815	RSAU_RS10815	2163155	2163282	RSAU_RS10815-MONOMER	+				
RSAU_RS08475	RSAU_RS08475	1730734	1731366	RSAU_RS08475-MONOMER	+				RSAU_001590
RSAU_RS12480	RSAU_RS12480	2467391	2468185	RSAU_RS12480-MONOMER	-				RSAU_002324
RSAU_RS05700	RSAU_RS05700	1158336	1159217	RSAU_RS05700-MONOMER	+			PWY0-162 // PWY-5686	RSAU_001083
RSAU_RS07190	RSAU_RS07190	1474090	1475469	RSAU_RS07190-MONOMER	-				RSAU_001352
RSAU_RS11245	RSAU_RS11245	2235477	2235827	RSAU_RS11245-MONOMER	-				RSAU_002101
RSAU_RS11800	RSAU_RS11800	2336018	2337496	RSAU_RS11800-MONOMER	-			TCA	RSAU_002203
RSAU_RS04945	RSAU_RS04945	1015972	1017960	RSAU_RS04945-MONOMER	-				RSAU_000947
RSAU_RS05610	RSAU_RS05610	1140694	1142013	RSAU_RS05610-MONOMER	+				RSAU_001065
RSAU_RS05620	RSAU_RS05620	1143557	1144729	RSAU_RS05620-MONOMER	+				RSAU_001067
RSAU_RS10125	RSAU_RS10125	2023882	2025150	RSAU_RS10125-MONOMER	+			BRANCHED-CHAIN-AA-SYN-PWY // ILEUSYN-PWY // PWY-5437	RSAU_001894
RSAU_RS00590	RSAU_RS00590	133710	135197	RSAU_RS00590-MONOMER	+				RSAU_000121
RSAU_RS06990	RSAU_RS06990	1437738	1438082	RSAU_RS06990-MONOMER	-				RSAU_001318
RSAU_RS14510	RSAU_RS14510	424937	425002	RSAU_RS14510-MONOMER	-				RSAU_000384
RSAU_RS07990	RSAU_RS07990	1627064	1627519	RSAU_RS07990-MONOMER	-				RSAU_001504
RSAU_RS02915	RSAU_RS02915	618368	619318	RSAU_RS02915-MONOMER	+		GO:0005215		RSAU_000567
RSAU_RS09395	RSAU_RS09395	1886288	1886602	RSAU_RS09395-MONOMER	-				RSAU_001759
RSAU_RS10385	RSAU_RS10385	2074042	2074908	RSAU_RS10385-MONOMER	-			PWY-7980	RSAU_001942
RSAU_RS14205	RSAU_RS14205	1849800	1849898	RSAU_RS14205-MONOMER	-				
RSAU_RS05695	RSAU_RS05695	1157001	1158308	RSAU_RS05695-MONOMER	+		GO:0005215		RSAU_001082
RSAU_RS01505	RSAU_RS01505	340559	340783	RSAU_RS01505-MONOMER	-				RSAU_000292
RSAU_RS13375	RSAU_RS13375	2658127	2659635	RSAU_RS13375-MONOMER	-				RSAU_002491
RSAU_RS08200	RSAU_RS08200	1666058	1666180	RSAU_RS08200-MONOMER	-				
RSAU_RS13020	RSAU_RS13020	2581981	2583045	RSAU_RS13020-MONOMER	+			PWY0-162 // PWY-5686	RSAU_002430
RSAU_RS06825	RSAU_RS06825	1390863	1392749	RSAU_RS06825-MONOMER	-				RSAU_001288
RSAU_RS00825	RSAU_RS00825	197853	199409	RSAU_RS00825-MONOMER	-				RSAU_000168
RSAU_RS06980	RSAU_RS06980	1435526	1435858	RSAU_RS06980-MONOMER	-				RSAU_001316
RSAU_RS07280	RSAU_RS07280	1490673	1490921	RSAU_RS07280-MONOMER	-				
RSAU_RS02370	RSAU_RS02370	504900	504972	RSAU_RS02370-tRNA	+			PWY0-1479 // TRNA-CHARGING-PWY	RSAU_000460
RSAU_RS11770	RSAU_RS11770	2330779	2332152	RSAU_RS11770-MONOMER	+				RSAU_002197
RSAU_RS11940	RSAU_RS11940	2365686	2366339	RSAU_RS11940-MONOMER	-				RSAU_002229
RSAU_RS04210	RSAU_RS04210	866514	866897	RSAU_RS04210-MONOMER	+				RSAU_000804
RSAU_RS13540	RSAU_RS13540	2696502	2697515	RSAU_RS13540-MONOMER	-				RSAU_002522
RSAU_RS13570	RSAU_RS13570	2702315	2703148	RSAU_RS13570-MONOMER	-				RSAU_002528
RSAU_RS11400	RSAU_RS11400	2259017	2259760	RSAU_RS11400-MONOMER	-				RSAU_002130
RSAU_RS09665	RSAU_RS09665	1937550	1938929	RSAU_RS09665-MONOMER	+			PWY-5875	RSAU_001807
RSAU_RS02410	RSAU_RS02410	510423	510538	RSAU_RS02410-rRNA	+				RSAU_000468
RSAU_RS11715	RSAU_RS11715	2321785	2322339	RSAU_RS11715-MONOMER	+				RSAU_002188
RSAU_RS06210	RSAU_RS06210	1273964	1274506	RSAU_RS06210-MONOMER	+				RSAU_001180
RSAU_RS05400	RSAU_RS05400	1104696	1106477	RSAU_RS05400-MONOMER	+				RSAU_001030
RSAU_RS04125	RSAU_RS04125	849739	850434	RSAU_RS04125-MONOMER	+		GO:0005215		RSAU_000788
RSAU_RS09370	RSAU_RS09370	1881484	1882521	RSAU_RS09370-MONOMER	-				RSAU_001755
RSAU_RS11025	RSAU_RS11025	2204946	2205890	RSAU_RS11025-MONOMER	-				RSAU_002060
RSAU_RS07005	RSAU_RS07005	1439057	1439236	RSAU_RS07005-MONOMER	-				
RSAU_RS01935	RSAU_RS01935	417453	418244	RSAU_RS01935-MONOMER	+				RSAU_000373
RSAU_RS04495	RSAU_RS04495	927410	928351	RSAU_RS04495-MONOMER	+			PWY-4381	RSAU_000858
RSAU_RS09385	RSAU_RS09385	1883911	1884747	RSAU_RS09385-MONOMER	-				RSAU_001757
RSAU_RS14630	RSAU_RS14630	2431706	2431815	RSAU_RS14630-MONOMER	-				
RSAU_RS09555	RSAU_RS09555	1913834	1914136	RSAU_RS09555-MONOMER	-			AMMASSIM-PWY // PWY-5921 // GLUTSYN-PWY // GLUTAMINDEG-PWY	RSAU_001788
RSAU_RS11060	RSAU_RS11060	2209278	2209718	RSAU_RS11060-MONOMER	-				RSAU_002067
RSAU_RS03985	RSAU_RS03985	827776	828306	RSAU_RS03985-MONOMER	+				RSAU_000764
RSAU_RS06635	RSAU_RS06635	1354630	1355262	RSAU_RS06635-MONOMER	+			TRPSYN-PWY	RSAU_001252
RSAU_RS10285	RSAU_RS10285	2059141	2059278	RSAU_RS10285-MONOMER	-				RSAU_001924
RSAU_RS11705	RSAU_RS11705	2319073	2321004	RSAU_RS11705-MONOMER	-		GO:0005215		RSAU_002186
RSAU_RS09210	RSAU_RS09210	1866099	1866172	RSAU_RS09210-tRNA	-			PWY0-1479 // TRNA-CHARGING-PWY	RSAU_001724
RSAU_RS05265	RSAU_RS05265	1080328	1080582	RSAU_RS05265-MONOMER	+				RSAU_001006
RSAU_RS01960	RSAU_RS01960	421750	422064	RSAU_RS01960-MONOMER	+				RSAU_000378
RSAU_RS10390	RSAU_RS10390	2074939	2076447	RSAU_RS10390-MONOMER	-			PWY-7980	RSAU_001943
RSAU_RS06075	RSAU_RS06075	1241477	1242394	RSAU_RS06075-MONOMER	+				RSAU_001154
RSAU_RS09940	RSAU_RS09940	1987914	1989086	RSAU_RS09940-MONOMER	+				RSAU_001859
RSAU_RS07965	RSAU_RS07965	1622944	1623204	RSAU_RS07965-MONOMER	-				RSAU_001499
RSAU_RS11330	RSAU_RS11330	2247614	2248555	RSAU_RS11330-MONOMER	-				RSAU_002117
RSAU_RS13720	RSAU_RS13720	2731853	2733730	RSAU_RS13720-MONOMER	-			PWY-7892	RSAU_002559
RSAU_RS09345	RSAU_RS09345	1875745	1877034	RSAU_RS09345-MONOMER	+			PWY-5188	RSAU_001751
RSAU_RS13195	RSAU_RS13195	2615670	2617040	RSAU_RS13195-MONOMER	-		GO:0005215		RSAU_002459
RSAU_RS00225	RSAU_RS00225	52677	53444	RSAU_RS00225-MONOMER	+				RSAU_000050
RSAU_RS10435	RSAU_RS10435	2082324	2082848	RSAU_RS10435-MONOMER	-				RSAU_001952
RSAU_RS09250	RSAU_RS09250	1866838	1866927	RSAU_RS09250-tRNA	-			PWY0-1479 // TRNA-CHARGING-PWY	RSAU_001732
RSAU_RS02395	RSAU_RS02395	505376	505451	RSAU_RS02395-tRNA	+			PWY0-1479 // TRNA-CHARGING-PWY	RSAU_000465
RSAU_RS02135	RSAU_RS02135	462717	465640	RSAU_RS02135-rRNA	+				RSAU_000416
RSAU_RS01235	RSAU_RS01235	286476	287159	RSAU_RS01235-MONOMER	+				RSAU_000240
