"Scaffold DIA 4.2.2"
"WU333373_ScaffoldDIA_DIANN19_allSA6850_PrX_db5_result_wCategories_OG.sdia"
"Summarization hierarchy: {0804_vs_rest}"
"   Comparison Level: 0804_vs_rest"
"   Biological Replicate Level: MS Sample"
"   Technical Replicate Level: MS Sample"
"The data below is summarized at the level of (0804_vs_rest)"
"Statistical test: t-test"
""
"","","","","","","","","","","Log2  Fold Change (Total  Intensity) (Normalized)",""
"221","true","Empty","[locus_tag=RSAU_001058] [protein=putative bacterial protein] [protein_id=AGU54889.1] [location=1132302..1133915] [gbkey=CDS] BLASTORTHO sp_Q2FZ98_BSHC_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54889.1_1005","63 kDa","0.9999983336799687","22","100%","0.52","-0.0481","0.000"
"222","true","Empty","[gene=priA] [locus_tag=RSAU_001094] [protein=primosomal assembly protein PriA] [protein_id=AGU54924.1] [location=1171962..1174370] [gbkey=CDS] BLASTORTHO tr_Q2G266_Q2G266_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54924.1_1040","93 kDa","0.99999753478005","26","100%","0.11","0.408","0.000"
"223","true","Empty","RSAU_001834; frameshift; sphingomyelinase beta-hemolysin","pseudoOrframeshift25_fw_frm1","37 kDa","0.9999987472999692","23","100%","0.29","-1.27","0.000"
"224","true","Empty","[gene=acsA] [locus_tag=RSAU_001589] [protein=acetyl-CoA synthetase, putative] [protein_id=AGU55412.1] [location=complement(1728859..1730565)] [gbkey=CDS] BLASTORTHO tr_Q2G294_Q2G294_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55412.1_1528","64 kDa","0.9999987472999692","21","100%","0.048","0.676","0.000"
"225","true","Empty","[gene=xseA] [locus_tag=RSAU_001390] [protein=exodeoxyribonuclease VII, large subunit, putative] [protein_id=AGU55216.1] [location=complement(1513589..1514926)] [gbkey=CDS] BLASTORTHO sp_Q2FY46_EX7L_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55216.1_1332","51 kDa","0.9999987472999692","23","100%","0.012","0.563","0.000"
"226","true","Empty","[gene=yvrC] [locus_tag=RSAU_000566] [protein=iron compound ABC transporter, substrate-binding protein, putative] [protein_id=AGU54411.1] [location=617330..618217] [gbkey=CDS] BLASTORTHO tr_Q2G0F6_Q2G0F6_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54411.1_527","33 kDa","0.9999987472999692","21","100%","0.00014","-0.661","0.000"
"227","true","Empty","[locus_tag=RSAU_001220] [protein=SCP-like extracellular protein domain protein] [protein_id=AGU55050.1] [location=1314572..1315435] [gbkey=CDS] BLASTORTHO tr_Q2FYU2_Q2FYU2_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55050.1_1166","34 kDa","0.9999986153300142","23","100%","0.0028","1.16","0.000"
"228","true","Empty","[gene=glpK] [locus_tag=RSAU_001183] [protein=glycerol kinase] [protein_id=AGU55013.1] [location=1276671..1278167] [gbkey=CDS] BLASTORTHO sp_Q2FYZ5_GLPK_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55013.1_1129","56 kDa","0.9999985088099947","22","100%","0.14","0.421","0.000"
"229","true","Empty","[gene=mutL] [locus_tag=RSAU_001179] [protein=DNA mismatch repair protein MutL] [protein_id=AGU55009.1] [location=1271949..1273958] [gbkey=CDS] BLASTORTHO sp_Q93T05_MUTL_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55009.1_1125","77 kDa","0.9999984914200013","25","100%","< 0.0001","1.53","0.000"
"230","true","Empty","[gene=purA] [locus_tag=RSAU_000017] [protein=adenylosuccinate synthetase, putative] [protein_id=AGU53901.1] [location=22017..23300] [gbkey=CDS] BLASTORTHO tr_Q2G1S3_Q2G1S3_STAA8 evalue=0","lcl_CP006706.1_prot_AGU53901.1_17","48 kDa","0.9999984914200013","24","100%","0.19","0.620","0.000"
"231","true","Empty","[gene=cvfA] [locus_tag=RSAU_001169] [protein=2', 3'-cyclic-nucleotide 2'-phosphodiesterase, putative] [protein_id=AGU54999.1] [location=1260256..1261815] [gbkey=CDS] BLASTORTHO sp_Q2FZ08_RNY_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54999.1_1115","59 kDa","0.9999984914200013","24","100%","0.62","0.313","0.000"
"232","true","Empty","[gene=fnbB] [locus_tag=RSAU_002340] [protein=Fibronectin-binding protein B] [protein_id=AGU56094.1] [location=complement(2483426..2486194)] [gbkey=CDS] BLASTORTHO tr_Q2G1T5_Q2G1T5_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56094.1_2210","102 kDa","0.9999984914200013","23","83%","0.54","-0.0437","0.000"
"233","true","Empty","[locus_tag=RSAU_000182] [protein=nickel ABC transporter, substrate-binding protein] [protein_id=AGU54054.1] [location=complement(219433..220845)] [gbkey=CDS] BLASTORTHO sp_Q2G2P5_NIKA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54054.1_170","53 kDa","0.9999984367100296","24","100%","0.0045","1.78","0.000"
"234","true","Empty","[locus_tag=RSAU_001630] [protein=beta-N-acetylglucosaminidase, putative] [protein_id=AGU55451.1] [location=complement(1781697..1782551)] [gbkey=CDS] BLASTORTHO tr_Q2FXF4_Q2FXF4_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55451.1_1567","33 kDa","0.9999984367100296","22","100%","0.00060","0.847","0.000"
"235","true","Empty","[gene=secDF] [locus_tag=RSAU_001498] [protein=bifunctional preprotein translocase subunit SecD/SecF] [protein_id=AGU55324.1] [location=complement(1620390..1622669)] [gbkey=CDS] BLASTORTHO tr_Q2FXT8_Q2FXT8_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55324.1_1440","84 kDa","0.9999984367100296","25","100%","0.81","-0.0353","0.000"
"236","true","Empty","[gene=ftsA] [locus_tag=RSAU_001066] [protein=cell division ATPase FtsA] [protein_id=AGU54897.1] [location=1142118..1143524] [gbkey=CDS] BLASTORTHO sp_O07325_FTSA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54897.1_1013","53 kDa","0.9999984367100296","21","100%","0.0079","0.186","0.000"
"237","true","Empty","[gene=ffh] [locus_tag=RSAU_001119] [protein=signal recognition particle protein] [protein_id=AGU54949.1] [location=1200909..1202276] [gbkey=CDS] BLASTORTHO tr_Q2FZ46_Q2FZ46_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54949.1_1065","51 kDa","0.9999984367100296","21","100%","0.18","0.192","0.000"
"238","true","Empty","[locus_tag=RSAU_001559] [protein=NADP-dependent malic enzyme, putative] [protein_id=AGU55383.1] [location=complement(1689166..1690395)] [gbkey=CDS] BLASTORTHO tr_Q2FXM5_Q2FXM5_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55383.1_1499","44 kDa","0.9999984367100296","19","100%","0.95","-0.00714","0.000"
"239","true","Empty","[gene=ftsK] [locus_tag=RSAU_001159] [protein=DNA translocase FtsK] [protein_id=AGU54989.1] [location=1248387..1250765] [gbkey=CDS] BLASTORTHO tr_Q2FZ18_Q2FZ18_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54989.1_1105","89 kDa","0.9999984367100296","22","100%","0.54","0.0895","0.000"
"240","true","Empty","[gene=dnaX] [locus_tag=RSAU_000412] [protein=DNA polymerase III, gamma and tau subunits] [protein_id=AGU54280.1] [location=457242..458939] [gbkey=CDS] BLASTORTHO tr_Q2G0T5_Q2G0T5_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54280.1_396","63 kDa","0.9999984083400477","20","100%","0.031","0.466","0.000"
"241","true","Empty","[gene=dnaA] [locus_tag=RSAU_000001] [protein=chromosomal replicator initiator protein] [protein_id=AGU53885.1] [location=101..1462] [gbkey=CDS] BLASTORTHO sp_Q2G2H5_DNAA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU53885.1_1","52 kDa","0.9999984083400477","24","100%","0.84","-0.0308","0.000"
"242","true","Empty","[gene=treC] [locus_tag=RSAU_000409] [protein=alpha,alpha-phosphotrehalase, putative] [protein_id=AGU54277.1] [location=453616..455256] [gbkey=CDS] BLASTORTHO tr_Q2G0T9_Q2G0T9_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54277.1_393","63 kDa","0.9999983422400192","22","100%","0.17","-0.354","0.000"
"243","true","Empty","[gene=truB] [locus_tag=RSAU_001154] [protein=tRNA pseudouridine synthase B] [protein_id=AGU54984.1] [location=1241477..1242394] [gbkey=CDS] BLASTORTHO sp_Q2G2Q3_TRUB_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54984.1_1100","35 kDa","0.9999979921799422","21","100%","0.00058","-0.435","0.000"
"244","true","Empty"," P02533 SWISS-PROT:P02533 Tax_Id=9606 Gene_Symbol=KRT14 Keratin, type I cytoskeletal 14","zz_Y-FGCZCont00288_","52 kDa","0.9999964850599099","23","22%","0.18","0.664","0.000"
"245","true","Empty"," zz_FGCZCont0034_P02538_K2C6A_HUMAN blastpHomologue_0.0","zz_Y-FGCZCont00035_","60 kDa","0.999993553819877","24","4%","0.32","1.24","0.000"
"246","true","Empty"," zz_FGCZCont0173_P04259_K2C6B_HUMAN blastpHomologue_0.0","zz_Y-FGCZCont00174_","60 kDa","0.9999873247998039","24","4%","0.67","1.00","0.000"
"247","true","Empty","Group of  zz_FGCZCont0059_P02538_K2C6A_HUMAN blastpHomologue_0.0","zz_Y-FGCZCont00060_ (+1)","","0.0","24","0%","--","1.09","0.000"
"247.1","true","Empty"," zz_FGCZCont0059_P02538_K2C6A_HUMAN blastpHomologue_0.0","zz_Y-FGCZCont00060_","60 kDa","0.0","24","0%","--","1.09","0.000"
"247.2","true","Empty"," P48668 SWISS-PROT:P48668 Tax_Id=9606 Gene_Symbol=KRT6C Keratin, type II cytoskeletal 6C","zz_Y-FGCZCont00289_","60 kDa","0.0","24","0%","--","1.09","0.000"
"248","true","Empty","[gene=sufC] [locus_tag=RSAU_000792] [protein=FeS assembly ATPase SufC, putative] [protein_id=AGU54628.1] [location=853528..854289] [gbkey=CDS] BLASTORTHO tr_Q2FZY7_Q2FZY7_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54628.1_744","28 kDa","0.9999987472999692","15","100%","0.00084","-0.310","0.000"
"249","true","Empty","[gene=sspB] [locus_tag=RSAU_000935] [protein=cysteine protease Staphopain B precursor, putative] [protein_id=AGU54767.1] [location=complement(1000608..1001789)] [gbkey=CDS] BLASTORTHO sp_Q2FZL3_SSPB_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54767.1_883","45 kDa","0.9999987472999692","22","100%","0.57","0.494","0.000"
"250","true","Empty","[gene=hlgB] [locus_tag=RSAU_002260] [protein=gamma-hemolysin component B precursor] [protein_id=AGU56016.1] [location=2398582..2399559] [gbkey=CDS] BLASTORTHO sp_Q2FVK1_HLGB_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56016.1_2132","37 kDa","0.9999987472999692","21","90%","0.0074","-1.08","0.000"
"251","true","Empty","[gene=cidC] [locus_tag=RSAU_002380] [protein=pyruvate oxidase] [protein_id=AGU56134.1] [location=complement(2529292..2531031)] [gbkey=CDS] BLASTORTHO tr_Q2FV86_Q2FV86_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56134.1_2250","64 kDa","0.9999987472999692","20","100%","0.0050","-1.15","0.000"
"252","true","Empty","[gene=pfkA] [locus_tag=RSAU_001556] [protein=6-phosphofructokinase] [protein_id=AGU55380.1] [location=complement(1685933..1686901)] [gbkey=CDS] BLASTORTHO sp_Q2FXM8_PFKA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55380.1_1496","35 kDa","0.9999987472999692","20","100%","0.53","-0.0899","0.000"
"253","true","Empty","[gene=spsB] [locus_tag=RSAU_000842] [protein=signal peptidase IB] [protein_id=AGU54678.1] [location=903873..904448] [gbkey=CDS] BLASTORTHO tr_Q2FZT7_Q2FZT7_STAA8 evalue=1.27284e-111","lcl_CP006706.1_prot_AGU54678.1_794","22 kDa","0.9999987472999692","22","100%","0.0063","0.562","0.000"
"254","true","Empty","[gene=dnaN] [locus_tag=RSAU_000002] [protein=DNA polymerase III, beta subunit] [protein_id=AGU53886.1] [location=1740..2873] [gbkey=CDS] BLASTORTHO tr_Q2G2H4_Q2G2H4_STAA8 evalue=0","lcl_CP006706.1_prot_AGU53886.1_2","42 kDa","0.9999987472999692","19","100%","0.51","0.117","0.000"
"255","true","Empty","[gene=pdhB] [locus_tag=RSAU_000979] [protein=pyruvate dehydrogenase complex, E1 component, pyruvate dehydrogenase beta subunit PdhB] [protein_id=AGU54811.1] [location=1051638..1052615] [gbkey=CDS] BLASTORTHO tr_Q2G2A5_Q2G2A5_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54811.1_927","35 kDa","0.9999987472999692","20","100%","0.62","0.0714","0.000"
"256","true","Empty","[locus_tag=RSAU_002137] [protein=glycerate dehydrogenase, putative] [protein_id=AGU55894.1] [location=2267937..2268890] [gbkey=CDS] BLASTORTHO sp_Q2FVW4_Y2577_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55894.1_2010","35 kDa","0.9999987472999692","21","100%","0.69","0.0774","0.000"
"257","true","Empty","[gene=rpsC] [locus_tag=RSAU_002080] [protein=30S ribosomal protein S3] [protein_id=AGU55837.1] [location=complement(2214283..2214936)] [gbkey=CDS] BLASTORTHO sp_Q2FW12_RS3_STAA8 evalue=5.86951e-160","lcl_CP006706.1_prot_AGU55837.1_1953","24 kDa","0.9999987472999692","23","100%","0.0041","-0.338","0.000"
"258","true","Empty","[gene=rho] [locus_tag=RSAU_001959] [protein=transcription termination factor Rho] [protein_id=AGU55725.1] [location=complement(2087718..2089034)] [gbkey=CDS] BLASTORTHO tr_Q2FWD7_Q2FWD7_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55725.1_1841","50 kDa","0.9999987472999692","22","100%","0.12","0.328","0.000"
"259","true","Empty","[gene=rplB] [locus_tag=RSAU_002083] [protein=50S ribosomal protein L2] [protein_id=AGU55840.1] [location=complement(2215687..2216520)] [gbkey=CDS] BLASTORTHO sp_P60430_RL2_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55840.1_1956","30 kDa","0.9999987472999692","20","100%","0.017","-0.523","0.000"
"260","true","Empty","[locus_tag=RSAU_000745] [protein=NAD-dependent malate dehydrogenase, putative] [protein_id=AGU54582.1] [location=806646..808280] [gbkey=CDS] BLASTORTHO tr_Q2FXM5_Q2FXM5_STAA8 evalue=5.93339e-21","lcl_CP006706.1_prot_AGU54582.1_698","61 kDa","0.9999987218400292","22","100%","0.012","-0.561","0.000"
"261","true","Empty","[gene=rpoA] [locus_tag=RSAU_002060] [protein=DNA-directed RNA polymerase, subunit alpha] [protein_id=AGU55817.1] [location=complement(2204946..2205890)] [gbkey=CDS] BLASTORTHO sp_Q2FW32_RPOA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55817.1_1933","35 kDa","0.9999984367100296","22","100%","0.045","0.220","0.000"
"262","true","Empty","[gene=qoxA] [locus_tag=RSAU_000948] [protein=cytochrome aa3 quinol oxidase, subunit II, putative] [protein_id=AGU54780.1] [location=complement(1017960..1019060)] [gbkey=CDS] BLASTORTHO sp_Q2FZJ9_QOX2_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54780.1_896","42 kDa","0.9999984367100296","21","100%","< 0.0001","-0.698","0.000"
"263","true","Empty","[gene=msrR] [locus_tag=RSAU_001243] [protein=peptide methionine sulfoxide reductase transcriptional regulator MsrR] [protein_id=AGU55072.1] [location=1345290..1346273] [gbkey=CDS] BLASTORTHO sp_Q7BHL7_MSRR_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55072.1_1188","37 kDa","0.9999984367100296","20","100%","0.0011","0.436","0.000"
"264","true","Empty","[gene=menD] [locus_tag=RSAU_000932] [protein=2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase] [protein_id=AGU54764.1] [location=996725..998398] [gbkey=CDS] BLASTORTHO sp_Q2FZL7_MEND_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54764.1_880","63 kDa","0.9999984367100296","21","100%","0.56","0.183","0.000"
"265","true","Empty","[gene=lepA] [locus_tag=RSAU_001449] [protein=GTP-binding protein LepA] [protein_id=AGU55275.1] [location=complement(1568374..1570197)] [gbkey=CDS] BLASTORTHO sp_Q2FXY7_LEPA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55275.1_1391","68 kDa","0.9999984367100296","20","100%","< 0.0001","-0.507","0.000"
"266","true","Empty","[gene=fmt] [locus_tag=RSAU_001098] [protein=methionyl-tRNA formyltransferase] [protein_id=AGU54928.1] [location=1176968..1177903] [gbkey=CDS] BLASTORTHO sp_Q2FZ68_FMT_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54928.1_1044","34 kDa","0.9999984367100296","19","100%","0.31","0.193","0.000"
"267","true","Empty","[locus_tag=RSAU_002023] [protein=IucA-IucC family aerobactin biosynthesis protein, putative] [protein_id=AGU55780.1] [location=complement(2164460..2166217)] [gbkey=CDS] BLASTORTHO tr_Q2FW72_Q2FW72_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55780.1_1896","67 kDa","0.9999984367100296","21","100%","0.028","0.397","0.000"
"268","true","Empty","[gene=budB] [locus_tag=RSAU_002050] [protein=acetolactate synthase] [protein_id=AGU55807.1] [location=complement(2194504..2196168)] [gbkey=CDS] BLASTORTHO tr_Q2FW49_Q2FW49_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55807.1_1923","61 kDa","0.9999983907999876","21","100%","0.41","-0.423","0.000"
"269","true","Empty","[gene=hsdS] [locus_tag=RSAU_001664] [protein=restriction-modification enzyme type I, specificity subunit] [protein_id=AGU55483.1] [location=complement(1811607..1812827)] [gbkey=CDS] BLASTORTHO tr_Q2FXD1_Q2FXD1_STAA8 evalue=5.81362e-51","lcl_CP006706.1_prot_AGU55483.1_1599","48 kDa","0.9999982629100259","24","79%","0.0026","-0.441","0.000"
"270","true","Empty"," Q7Z794 SWISS-PROT:Q7Z794 Tax_Id=9606 Gene_Symbol=KRT77 Keratin 77","zz_Y-FGCZCont00416_","62 kDa","0.9999982629100259","22","82%","0.33","0.189","0.000"
"271","true","Empty","[gene=oppA1] [locus_tag=RSAU_000864] [protein=oligopeptide ABC transporter, substrate-binding lipoprotein oppA, putative] [protein_id=AGU54700.1] [location=934322..935977] [gbkey=CDS] BLASTORTHO tr_Q2FZR3_Q2FZR3_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54700.1_816","62 kDa","0.9999978395899234","22","100%","0.014","-1.82","0.000"
"272","true","Empty"," zz_FGCZCont0236_P48668_K2C6C_HUMAN blastpHomologue_0.0","zz_Y-FGCZCont00237_","60 kDa","0.9998747299978277","23","4%","0.60","1.18","0.000"
"273","true","Empty","[gene=rplM] [locus_tag=RSAU_002054] [protein=50S ribosomal protein L13] [protein_id=AGU55811.1] [location=complement(2200076..2200513)] [gbkey=CDS] BLASTORTHO sp_Q2FW38_RL13_STAA8 evalue=1.68967e-108","lcl_CP006706.1_prot_AGU55811.1_1927","16 kDa","0.9999987472999692","19","100%","< 0.0001","-0.351","0.000"
"274","true","Empty","[gene=gluD] [locus_tag=RSAU_000835] [protein=NAD-specific glutamate dehydrogenase, putative] [protein_id=AGU54671.1] [location=894870..896114] [gbkey=CDS] BLASTORTHO tr_Q2FZU5_Q2FZU5_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54671.1_787","46 kDa","0.9999987472999692","18","100%","0.023","0.636","0.000"
"275","true","Empty","[gene=guaA] [locus_tag=RSAU_000335] [protein=bifunctional GMP synthase/glutamine amidotransferase protein] [protein_id=AGU54204.1] [location=381321..382862] [gbkey=CDS] BLASTORTHO sp_Q2G0Y6_GUAA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54204.1_320","58 kDa","0.9999987472999692","21","100%","0.022","-0.485","0.000"
"276","true","Empty","[gene=mvaS] [locus_tag=RSAU_002386] [protein=3-hydroxy-3-methylglutaryl CoA synthase] [protein_id=AGU56140.1] [location=2536120..2537286] [gbkey=CDS] BLASTORTHO tr_Q2FV76_Q2FV76_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56140.1_2256","43 kDa","0.9999987472999692","22","100%","0.00061","0.871","0.000"
"277","true","Empty","[gene=folD] [locus_tag=RSAU_000950] [protein=bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase] [protein_id=AGU54782.1] [location=complement(1020672..1021532)] [gbkey=CDS] BLASTORTHO sp_Q2FZJ6_FOLD_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54782.1_898","31 kDa","0.9999987472999692","21","100%","0.17","0.481","0.000"
"278","true","Empty","[gene=gapA1] [locus_tag=RSAU_000750] [protein=glyceraldehyde 3-phosphate dehydrogenase 1] [protein_id=AGU54586.1] [location=812656..813666] [gbkey=CDS] BLASTORTHO tr_Q2G032_Q2G032_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54586.1_702","36 kDa","0.9999987472999692","20","100%","< 0.0001","-0.613","0.000"
"279","true","Empty","[gene=ccpA] [locus_tag=RSAU_001592] [protein=catabolite control protein A, putative] [protein_id=AGU55415.1] [location=complement(1732658..1733647)] [gbkey=CDS] BLASTORTHO tr_Q2G295_Q2G295_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55415.1_1531","36 kDa","0.9999987218400292","20","100%","0.38","0.156","0.000"
"280","true","Empty","[locus_tag=RSAU_000199] [protein=2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative] [protein_id=AGU54071.1] [location=240455..241171] [gbkey=CDS] BLASTORTHO sp_Q2G1C0_TARI1_STAA8 evalue=6.62574e-178","lcl_CP006706.1_prot_AGU54071.1_187","27 kDa","0.9999985088099947","18","83%","0.95","0.0195","0.000"
"281","true","Empty","[gene=atpA] [locus_tag=RSAU_001943] [protein=FOF1-ATP synthase, subunit alpha] [protein_id=AGU55709.1] [location=complement(2074939..2076447)] [gbkey=CDS] BLASTORTHO sp_Q2FWE8_ATPA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55709.1_1825","55 kDa","0.9999985088099947","22","100%","< 0.0001","-0.379","0.000"
"282","true","Empty","RSAU_000065; immunoglobulin G binding protein A","pseudoOrframeshift6_rev_frm3","48 kDa","0.9999984914200013","21","100%","0.015","-3.76","0.000"
"283","true","Empty","[gene=serA] [locus_tag=RSAU_001580] [protein=D-3-phosphoglycerate dehydrogenase] [protein_id=AGU55403.1] [location=1714240..1715844] [gbkey=CDS] BLASTORTHO tr_Q2FXK1_Q2FXK1_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55403.1_1519","58 kDa","0.9999984367100296","22","100%","0.14","0.853","0.000"
"284","true","Empty","[gene=prfA] [locus_tag=RSAU_001956] [protein=peptide chain release factor 1] [protein_id=AGU55722.1] [location=complement(2085324..2086400)] [gbkey=CDS] BLASTORTHO sp_Q2FWE0_RF1_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55722.1_1838","40 kDa","0.9999984367100296","21","100%","0.11","-0.291","0.000"
"285","true","Empty","[locus_tag=RSAU_001553] [protein=methylcitrate synthase] [protein_id=AGU55377.1] [location=complement(1680977..1682098)] [gbkey=CDS] BLASTORTHO tr_Q2FXN3_Q2FXN3_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55377.1_1493","43 kDa","0.9999984367100296","19","100%","0.48","0.294","0.000"
"286","true","Empty","[gene=thiD1] [locus_tag=RSAU_000531] [protein=phosphomethylpyrimidine kinase, putative] [protein_id=AGU54378.1] [location=complement(585940..586770)] [gbkey=CDS] BLASTORTHO tr_Q2G0J8_Q2G0J8_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54378.1_494","30 kDa","0.9999984367100296","15","100%","0.47","-0.222","0.000"
"287","true","Empty","[gene=pyrD] [locus_tag=RSAU_002430] [protein=dihydroorotate dehydrogenase] [protein_id=AGU56182.1] [location=2581981..2583045] [gbkey=CDS] BLASTORTHO tr_Q2FV30_Q2FV30_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56182.1_2298","40 kDa","0.9999984367100296","20","100%","0.48","-0.658","0.000"
"288","true","Empty","[locus_tag=RSAU_001171] [protein=metallophosphatase domain protein] [protein_id=AGU55001.1] [location=1262501..1263298] [gbkey=CDS] BLASTORTHO tr_Q2FZ06_Q2FZ06_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55001.1_1117","30 kDa","0.9999984367100296","17","100%","0.014","-0.247","0.000"
"289","true","Empty","[gene=murF] [locus_tag=RSAU_001921] [protein=UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate-D-alanyl-D-alanyl ligase, putative] [protein_id=AGU55687.1] [location=complement(2054914..2056272)] [gbkey=CDS] BLASTORTHO tr_Q2FWH4_Q2FWH4_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55687.1_1803","50 kDa","0.9999984367100296","19","100%","0.10","0.275","0.000"
"290","true","Empty","[locus_tag=RSAU_000197] [protein=teichoic acid biosynthesis protein, putative] [protein_id=AGU54069.1] [location=236888..238582] [gbkey=CDS] BLASTORTHO sp_Q2G1C2_TARK_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54069.1_185","66 kDa","0.9999984367100296","22","59%","0.26","0.0920","0.000"
"291","true","Empty","[locus_tag=RSAU_001779] [protein=UDP-N-acetylmuramyl tripeptide synthetase, putative] [protein_id=AGU55558.1] [location=complement(1902581..1903894)] [gbkey=CDS] BLASTORTHO tr_Q2FWZ9_Q2FWZ9_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55558.1_1674","49 kDa","0.9999984367100296","20","100%","0.86","0.0719","0.000"
"292","true","Empty","[gene=topB] [locus_tag=RSAU_002090] [protein=DNA topoisomerase III] [protein_id=AGU55847.1] [location=complement(2220863..2222998)] [gbkey=CDS] BLASTORTHO sp_Q2FW03_TOP3_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55847.1_1963","82 kDa","0.9999983422400192","22","100%","< 0.0001","-1.47","0.000"
"293","true","Empty","[gene=mopB] [locus_tag=RSAU_002146] [protein=formate dehydrogenase, alpha subunit, putative] [protein_id=AGU55903.1] [location=complement(2275308..2278262)] [gbkey=CDS] BLASTORTHO sp_Q2FVV9_FDHL_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55903.1_2019","111 kDa","0.9999983336799687","22","100%","0.16","-0.176","0.000"
"294","true","Empty","[locus_tag=RSAU_000818] [protein=NADH dehydrogenase, FAD-containing subunit, putative] [protein_id=AGU54654.1] [location=877640..878848] [gbkey=CDS] BLASTORTHO sp_Q2FZV7_NDH_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54654.1_770","44 kDa","0.9999987472999692","20","100%","0.83","0.0427","0.000"
"295","true","Empty","[gene=prfC] [locus_tag=RSAU_000905] [protein=peptide chain release factor 3] [protein_id=AGU54739.1] [location=972352..973914] [gbkey=CDS] BLASTORTHO sp_Q2FZP4_RF3_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54739.1_855","60 kDa","0.9999987472999692","18","100%","0.24","0.167","0.000"
"296","true","Empty","[gene=sucD] [locus_tag=RSAU_001128] [protein=succinyl-CoA synthetase, alpha subunit] [protein_id=AGU54958.1] [location=1211050..1211958] [gbkey=CDS] BLASTORTHO tr_Q2FZ36_Q2FZ36_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54958.1_1074","32 kDa","0.9999987472999692","16","100%","0.34","0.502","0.000"
"297","true","Empty","[gene=adk] [locus_tag=RSAU_002065] [protein=adenylate kinase] [protein_id=AGU55822.1] [location=complement(2207322..2207969)] [gbkey=CDS] BLASTORTHO tr_Q2FW27_Q2FW27_STAA8 evalue=8.91783e-159","lcl_CP006706.1_prot_AGU55822.1_1938","24 kDa","0.9999987472999692","17","100%","0.20","0.286","0.000"
